Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,55.450001,55.950001,52.299999,53.599998,53.599998,18480
2020-01-02,54.950001,55.000000,52.950001,53.700001,53.700001,18136
2020-01-03,53.650002,54.750000,52.700001,52.700001,52.700001,5404
2020-01-06,51.450001,54.000000,50.099998,51.250000,51.250000,5562
2020-01-07,50.299999,54.400002,50.299999,51.200001,51.200001,3792
2020-01-08,50.150002,55.049999,49.400002,54.650002,54.650002,20326
2020-01-09,56.500000,61.000000,55.599998,57.900002,57.900002,76235
2020-01-10,59.450001,59.950001,53.650002,55.900002,55.900002,16513
2020-01-13,55.150002,58.950001,54.000000,55.549999,55.549999,16251
2020-01-14,55.750000,57.700001,55.500000,56.849998,56.849998,5350
2020-01-15,56.950001,68.199997,55.099998,67.150002,67.150002,306378
2020-01-16,66.449997,66.849998,64.000000,64.349998,64.349998,51276
2020-01-17,64.500000,65.900002,61.400002,63.450001,63.450001,13915
2020-01-20,61.650002,64.900002,59.000000,61.099998,61.099998,6986
2020-01-21,60.049999,62.450001,59.000000,59.849998,59.849998,10727
2020-01-22,61.849998,62.900002,56.950001,58.549999,58.549999,10082
2020-01-23,57.450001,59.950001,57.400002,58.950001,58.950001,6035
2020-01-24,57.950001,59.349998,57.950001,58.700001,58.700001,5409
2020-01-27,62.000000,69.599998,57.099998,66.000000,66.000000,237945
2020-01-28,68.000000,68.000000,59.750000,60.500000,60.500000,44894
2020-01-29,62.650002,63.200001,58.599998,60.099998,60.099998,19081
2020-01-30,60.549999,60.549999,57.000000,57.799999,57.799999,14349
2020-01-31,57.799999,59.700001,55.099998,56.400002,56.400002,10540
2020-02-03,57.799999,57.849998,54.150002,55.000000,55.000000,3417
2020-02-04,57.000000,59.900002,56.000000,56.700001,56.700001,15196
2020-02-05,57.099998,58.799999,56.700001,57.549999,57.549999,5659
2020-02-06,59.450001,59.450001,56.099998,57.299999,57.299999,2198
2020-02-07,57.950001,58.299999,56.049999,57.299999,57.299999,7002
2020-02-10,56.650002,58.599998,53.849998,55.250000,55.250000,8887
2020-02-11,57.200001,61.849998,55.099998,56.950001,56.950001,92804
2020-02-12,57.900002,58.500000,54.000000,55.049999,55.049999,13714
2020-02-13,52.150002,56.500000,52.150002,53.599998,53.599998,15803
2020-02-14,53.000000,55.450001,52.400002,54.250000,54.250000,10957
2020-02-17,55.450001,55.450001,52.299999,53.349998,53.349998,7797
2020-02-18,52.250000,54.400002,51.150002,51.750000,51.750000,5212
2020-02-19,53.750000,62.099998,51.549999,55.500000,55.500000,166908
2020-02-20,57.000000,57.000000,53.200001,54.450001,54.450001,20660
2020-02-24,54.000000,61.799999,53.000000,55.750000,55.750000,87290
2020-02-25,56.900002,57.400002,53.549999,54.250000,54.250000,18341
2020-02-26,53.099998,62.400002,52.250000,55.000000,55.000000,13483
2020-02-27,54.099998,56.799999,52.349998,53.450001,53.450001,14814
2020-02-28,52.049999,60.049999,47.799999,52.950001,52.950001,35475
2020-03-02,53.150002,54.799999,49.099998,50.549999,50.549999,6010
2020-03-03,51.799999,55.000000,49.500000,52.000000,52.000000,12455
2020-03-04,53.250000,53.250000,47.000000,48.299999,48.299999,17938
2020-03-05,48.250000,54.000000,47.549999,49.099998,49.099998,20695
2020-03-06,48.099998,48.099998,46.000000,46.200001,46.200001,115457
2020-03-09,45.500000,48.500000,43.150002,46.849998,46.849998,19684
2020-03-11,47.000000,47.799999,44.599998,45.099998,45.099998,11650
2020-03-12,43.099998,43.950001,40.000000,41.650002,41.650002,9454
2020-03-13,38.200001,49.950001,33.349998,43.200001,43.200001,12157
2020-03-16,43.099998,43.099998,35.200001,36.799999,36.799999,16208
2020-03-17,36.849998,43.950001,36.250000,38.450001,38.450001,17886
2020-03-18,37.299999,40.950001,36.250000,37.599998,37.599998,9135
2020-03-19,36.700001,39.900002,35.750000,36.150002,36.150002,10946
2020-03-20,36.150002,38.000000,35.599998,37.299999,37.299999,10482
2020-03-23,35.000000,39.450001,32.000000,33.250000,33.250000,12530
2020-03-24,33.049999,35.000000,32.799999,33.349998,33.349998,8071
2020-03-25,31.500000,37.700001,31.500000,34.599998,34.599998,3780
2020-03-26,34.000000,41.500000,28.950001,36.299999,36.299999,63247
2020-03-27,37.700001,41.450001,36.400002,36.700001,36.700001,7293
2020-03-30,38.950001,39.700001,32.150002,33.299999,33.299999,16257
2020-03-31,34.000000,36.549999,34.000000,35.849998,35.849998,9787
2020-04-01,35.849998,36.900002,35.000000,36.150002,36.150002,4347
2020-04-03,35.599998,36.950001,33.099998,35.849998,35.849998,3216
2020-04-07,39.799999,39.799999,36.000000,37.299999,37.299999,8243
2020-04-08,37.450001,44.750000,37.049999,44.750000,44.750000,97669
2020-04-09,48.000000,51.500000,41.950001,44.349998,44.349998,148900
2020-04-13,44.349998,44.349998,38.950001,42.250000,42.250000,35240
2020-04-15,44.849998,44.849998,40.200001,41.700001,41.700001,21745
2020-04-16,41.049999,43.900002,41.049999,43.200001,43.200001,11469
2020-04-17,44.000000,47.000000,42.750000,44.049999,44.049999,9924
2020-04-20,46.700001,46.700001,44.049999,44.599998,44.599998,14935
2020-04-21,44.250000,44.299999,42.000000,43.450001,43.450001,6036
2020-04-22,45.950001,48.450001,40.750000,46.150002,46.150002,70811
2020-04-23,45.799999,50.950001,45.799999,46.549999,46.549999,66636
2020-04-24,46.900002,46.950001,42.849998,44.500000,44.500000,16347
2020-04-27,44.549999,53.400002,43.200001,52.150002,52.150002,374038
2020-04-28,58.700001,58.799999,53.000000,53.450001,53.450001,293348
2020-04-29,53.450001,57.000000,53.200001,54.099998,54.099998,47635
2020-04-30,55.849998,55.849998,51.200001,52.400002,52.400002,49554
2020-05-04,49.049999,50.849998,47.000000,47.849998,47.849998,21222
2020-05-05,48.099998,49.400002,45.250000,45.950001,45.950001,10507
2020-05-06,45.400002,45.950001,43.799999,44.099998,44.099998,11070
2020-05-07,43.200001,47.900002,42.000000,45.400002,45.400002,18304
2020-05-08,45.400002,48.299999,45.400002,47.150002,47.150002,22119
2020-05-11,48.299999,49.400002,47.000000,47.599998,47.599998,14424
2020-05-12,47.000000,47.650002,46.000000,46.650002,46.650002,5865
2020-05-13,49.000000,49.000000,46.799999,48.099998,48.099998,15346
2020-05-14,47.000000,48.000000,45.250000,46.150002,46.150002,8193
2020-05-15,46.000000,47.650002,45.099998,46.750000,46.750000,6948
2020-05-18,49.700001,54.000000,48.500000,49.900002,49.900002,197029
2020-05-19,49.000000,53.500000,46.099998,47.150002,47.150002,44799
2020-05-20,47.750000,47.750000,43.700001,46.049999,46.049999,17591
2020-05-21,49.700001,55.250000,47.599998,55.250000,55.250000,484480
2020-05-22,57.000000,61.799999,54.299999,55.650002,55.650002,368832
2020-05-26,55.200001,55.849998,50.099998,50.500000,50.500000,74156
2020-05-27,50.900002,51.400002,47.400002,50.150002,50.150002,76494
2020-05-28,50.049999,52.700001,48.200001,51.700001,51.700001,70380
2020-05-29,50.200001,52.200001,49.799999,50.450001,50.450001,21960
2020-06-01,52.000000,52.000000,49.500000,49.950001,49.950001,33262
2020-06-02,50.900002,52.500000,49.099998,51.650002,51.650002,78488
2020-06-03,51.900002,53.450001,51.000000,51.200001,51.200001,61523
2020-06-04,51.900002,51.900002,49.000000,50.450001,50.450001,31339
2020-06-05,51.799999,54.650002,50.200001,52.000000,52.000000,121051
2020-06-08,53.250000,53.700001,50.299999,50.900002,50.900002,49896
2020-06-09,51.849998,51.849998,49.000000,49.349998,49.349998,20479
2020-06-10,48.500000,50.049999,48.500000,49.099998,49.099998,23307
