Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,280.100006,284.450012,276.350006,280.799988,280.799988,7699462
2019-01-02,272.000000,278.350006,260.500000,263.549988,263.549988,11588833
2019-01-03,261.000000,261.450012,245.100006,247.199997,247.199997,12487699
2019-01-04,242.000000,250.250000,236.100006,245.199997,245.199997,18709843
2019-01-07,244.800003,252.600006,242.800003,246.199997,246.199997,8624216
2019-01-08,246.000000,248.449997,242.000000,245.350006,245.350006,6063465
2019-01-09,243.000000,246.800003,241.000000,244.199997,244.199997,5204669
2019-01-10,241.000000,248.550003,239.250000,242.800003,242.800003,4422435
2019-01-11,250.000000,257.799988,243.550003,253.649994,253.649994,8275325
2019-01-14,254.500000,300.850006,248.550003,294.450012,294.450012,35517810
2019-01-15,298.200012,313.500000,288.350006,293.700012,293.700012,42059814
2019-01-16,293.000000,294.000000,265.000000,269.700012,269.700012,41556201
2019-01-17,263.000000,295.850006,256.399994,285.299988,285.299988,60386854
2019-01-18,283.950012,295.000000,276.000000,281.200012,281.200012,37902370
2019-01-21,275.000000,284.250000,272.000000,276.200012,276.200012,15657206
2019-01-22,273.000000,278.950012,268.000000,272.350006,272.350006,10225512
2019-01-23,272.000000,276.500000,263.399994,265.500000,265.500000,8345379
2019-01-24,266.000000,275.950012,263.000000,265.850006,265.850006,12514642
2019-01-25,268.000000,269.799988,247.100006,253.050003,253.050003,6740359
2019-01-28,255.949997,261.049988,242.600006,244.800003,244.800003,9565855
2019-01-29,245.449997,251.399994,237.199997,243.100006,243.100006,6416914
2019-01-30,242.000000,245.949997,235.000000,242.449997,242.449997,7392210
2019-01-31,241.000000,245.000000,232.149994,238.050003,238.050003,6327414
2019-02-01,238.000000,281.799988,234.100006,255.149994,255.149994,27955595
2019-02-04,255.149994,255.800003,240.500000,243.399994,243.399994,5627563
2019-02-05,243.399994,248.649994,233.300003,236.199997,236.199997,7164171
2019-02-06,239.000000,242.000000,235.300003,236.850006,236.850006,5478155
2019-02-07,238.000000,242.850006,235.199997,236.600006,236.600006,4961726
2019-02-08,235.000000,236.149994,216.649994,225.949997,225.949997,5545462
2019-02-11,226.000000,227.399994,212.300003,214.100006,214.100006,5249311
2019-02-12,204.449997,224.699997,203.500000,221.149994,221.149994,14259693
2019-02-14,224.250000,230.949997,212.050003,225.899994,225.899994,8512439
2019-02-15,225.000000,242.800003,215.000000,232.550003,232.550003,23895234
2019-02-18,238.500000,246.000000,230.000000,232.300003,232.300003,7503287
2019-02-19,232.350006,236.550003,230.100006,231.949997,231.949997,4271096
2019-02-20,232.000000,235.800003,225.050003,233.199997,233.199997,4945408
2019-02-21,234.000000,236.949997,231.500000,234.850006,234.850006,3635864
2019-02-22,238.000000,244.000000,235.000000,236.449997,236.449997,5633402
2019-02-25,229.949997,233.449997,225.000000,229.050003,229.050003,6684055
2019-02-26,225.000000,227.000000,221.000000,223.699997,223.699997,3885743
2019-02-27,225.399994,230.500000,219.000000,224.300003,224.300003,5629089
2019-02-28,217.399994,228.500000,210.149994,223.500000,223.500000,16257896
2019-03-01,234.000000,238.899994,230.000000,234.050003,234.050003,15955129
2019-03-05,224.000000,243.199997,224.000000,239.100006,239.100006,11262853
2019-03-06,239.000000,245.399994,236.199997,240.600006,240.600006,6932975
2019-03-07,241.000000,249.949997,237.399994,242.250000,242.250000,7663929
2019-03-08,236.100006,246.399994,236.100006,243.250000,243.250000,8461261
2019-03-11,252.000000,255.000000,245.399994,247.399994,247.399994,8698702
2019-03-12,252.500000,254.699997,234.000000,244.899994,244.899994,13380222
2019-03-13,240.000000,242.800003,236.699997,240.850006,240.850006,5799201
2019-03-14,235.250000,242.149994,234.399994,237.800003,237.800003,6112919
2019-03-15,238.000000,240.399994,231.600006,235.149994,235.149994,6346180
2019-03-18,236.500000,238.000000,233.050003,235.800003,235.800003,4303604
2019-03-19,235.000000,236.500000,223.050003,229.250000,229.250000,13978970
2019-03-20,215.000000,224.649994,213.350006,218.550003,218.550003,13362607
2019-03-22,218.600006,230.000000,218.550003,226.050003,226.050003,12739236
2019-03-25,223.149994,265.700012,219.000000,254.100006,254.100006,43241234
2019-03-26,263.000000,278.899994,262.000000,270.899994,270.899994,63123387
2019-03-27,283.700012,287.000000,273.750000,276.649994,276.649994,25539580
2019-03-28,274.000000,274.000000,267.049988,269.200012,269.200012,10875140
2019-04-01,268.299988,271.450012,262.100006,266.100006,266.100006,8034624
2019-04-02,267.950012,271.100006,262.649994,265.000000,265.000000,4598424
2019-04-03,256.000000,261.399994,248.199997,251.750000,251.750000,12220132
2019-04-04,245.399994,265.200012,240.800003,260.299988,260.299988,21731236
2019-04-05,260.950012,263.299988,254.050003,256.100006,256.100006,10827520
2019-04-08,255.500000,270.299988,251.300003,264.250000,264.250000,17928564
2019-04-09,264.500000,270.000000,261.299988,267.399994,267.399994,11178219
2019-04-10,265.200012,273.149994,258.600006,263.100006,263.100006,11418980
2019-04-11,262.250000,268.000000,256.000000,261.149994,261.149994,9627960
2019-04-12,258.000000,265.399994,257.000000,260.850006,260.850006,11373464
2019-04-15,261.000000,264.700012,258.200012,261.700012,261.700012,7175835
2019-04-16,255.000000,257.000000,213.199997,240.500000,240.500000,50984114
2019-04-18,216.449997,216.449997,158.699997,164.850006,164.850006,56787168
